BTC-USD,"42,860.36","+1,518.31+3.67%"
ETH-USD,"2,285.05",+94.82+4.33%
USDT-USD,1.00,+0.00+0.10%
BNB-USD,251.81,+1.09+0.44%
XRP-USD,0.63,+0.02+3.30%
